id,name,event
1611400,"Nawiliwili, HI",
1612340,"Honolulu, HI",
1612480,"Mokuoloe, HI",
1615680,"Kahului, Kahului Harbor, HI",
1617433,"Kawaihae, HI",
1617760,"Hilo, Hilo Bay, Kuhio Bay, HI",
1619910,"Sand Island, Midway Islands, United States of America",
1630000,"Apra Harbor, Guam, United States of America",
1631428,"Pago Bay, Guam, United States of America",
1770000,"Pago Pago, American Samoa, American Samoa",
1820000,"Kwajalein, Marshall Islands, United States of America",
1890000,"Wake Island, Pacific Ocean, United States of America",
2695535,"Bermuda, Ferry Reach Channel, Bermuda",
2695540,"Bermuda, St. Georges Island, Bermuda",
8311030,"Ogdensburg, NY",
8311062,"Alexandria Bay, NY",
8410140,"Eastport, ME",
8411060,"Cutler Farris Wharf, ME",
8413320,"Bar Harbor, ME",
8418150,"Portland, ME",
8419317,"Wells, ME",
8423898,"Fort Point, NH",
8443970,"Boston, MA",
8447386,"Fall River, MA",
8447435,"Chatham, Lydia Cove, MA",
8447930,"Woods Hole, MA",
8449130,"Nantucket Island, MA",
8452660,"Newport, RI",
8452944,"Conimicut Light, RI",
8454000,"Providence, RI",
8454049,"Quonset Point, RI",
8461490,"New London, Thames River, CT",
8465705,"New Haven, CT",
8467150,"Bridgeport, CT",
8510560,"Montauk, NY",Sandy
8516945,"Kings Point, NY",Sandy
8518750,"The Battery, NY",Sandy
8518962,"Turkey Point Hudson River NERRS, NY",Sandy
8519483,"Bergen Point West Reach, NY",Sandy
8531680,"Sandy Hook, NJ",Sandy
8534720,"Atlantic City, NJ",Sandy
8536110,"Cape May, NJ",Sandy
8537121,"Ship John Shoal, NJ",Sandy
8539094,"Burlington, Delaware River, NJ",Sandy
8540433,"Marcus Hook, PA",
8545240,"Philadelphia, PA",
8546252,"Bridesburg, PA",
8548989,"Newbold, PA",
8551762,"Delaware City, DE",
8551910,"Reedy Point, DE",
8555889,"Brandywine Shoal Light, DE",
8557380,"Lewes, DE",
8570283,"Ocean City Inlet, MD",
8571421,"Bishops Head, MD",
8571892,"Cambridge, MD",
8573364,"Tolchester Beach, MD",
8573927,"Chesapeake City, MD",
8574680,"Baltimore, MD",
8575512,"Annapolis, MD",
8577330,"Solomons Island, MD",
8594900,"Washington, DC",
8631044,"Wachapreague, VA",
8632200,"Kiptopeke, VA",
8635027,"Dahlgren, VA",
8635750,"Lewisetta, VA",
8636580,"Windmill Point, VA",
8637689,"Yorktown USCG Training Center, VA",
8638610,"Sewells Point, VA",
8638863,"Chesapeake Bay Bridge Tunnel, VA",
8638901,"CBBT, Chesapeake Channel, VA",
8639348,"Money Point, VA",
8651370,"Duck, NC",
8652587,"Oregon Inlet Marina, NC",
8654467,"USCG Station Hatteras, NC",
8656483,"Beaufort, NC",
8658120,"Wilmington, NC",
8658163,"Wrightsville Beach, NC",
8661070,"Springmaid Pier, SC",
8662245,"Oyster Landing (N Inlet Estuary), SC",
8665530,"Charleston, Cooper River Entrance, SC",
8670870,"Fort Pulaski, GA",
8720030,"Fernandina Beach, FL",Irma
8720218,"Mayport (Bar Pilots Dock), FL",Irma
8720219,"Dames Point, FL",Irma
8720226,"Southbank Riverwalk, St Johns River, FL",Irma
8720357,"I-295 Bridge, St Johns River, FL",Irma
8720503,"Red Bay Point, St Johns River, FL",Irma
8720625,"Racy Point, St Johns River, FL",Irma
8721604,"Trident Pier, Port Canaveral, FL",Irma
8722670,"Lake Worth Pier, Atlantic Ocean, FL",Irma
8723214,"Virginia Key, Biscayne Bay, FL",Irma
8723970,"Vaca Key, Florida Bay, FL",Irma
8724580,"Key West, FL",Irma
8725110,"Naples, Gulf of Mexico, FL",Irma
8725520,"Fort Myers, Caloosahatchee River, FL",Irma
8726384,"Port Manatee, FL",Irma
8726520,"St Petersburg, Tampa Bay, FL",Irma
8726607,"Old Port Tampa, FL",Irma
8726667,"Mckay Bay Entrance, FL",Irma
8726724,"Clearwater Beach, FL",Irma
8727520,"Cedar Key, FL",Irma
8728690,"Apalachicola, FL",Irma
8729108,"Panama City, FL",Irma
8729210,"Panama City Beach, FL",Irma
8729840,"Pensacola, FL",Irma
8732828,"Weeks Bay, Mobile Bay, AL",Nate
8735180,"Dauphin Island, AL",Nate
8735391,"Dog River Bridge, AL",Nate
8735523,"East Fowl River Bridge, AL",Nate
8736897,"Coast Guard Sector Mobile, AL",Nate
8737048,"Mobile State Docks, AL",Nate
8737138,"Chickasaw Creek, AL",Nate
8738043,"West Fowl River Bridge, AL",Nate
8739803,"Bayou La Batre Bridge, AL",Nate
8740166,"Grand Bay NERR, Mississippi Sound, MS",Nate
8741041,"Dock E, Port of Pascagoula, MS",Nate
8741533,"Pascagoula NOAA Lab, MS",Nate
8747437,"Bay Waveland Yacht Club, MS",Nate
8760721,"Pilottown, LA",Nate
8760922,"Pilots Station East, SW Pass, LA",Nate
8761305,"Shell Beach, LA",Nate
8761724,"Grand Isle, LA",Nate
8761927,"New Canal Station, LA",Nate
8761955,"Carrollton, LA",Nate
8762075,"Port Fourchon, Belle Pass, LA",Nate
8762482,"West Bank 1, Bayou Gauche, LA",Nate
8762483,"I-10 Bonnet Carre Floodway, LA",Nate
8764044,"Berwick, Atchafalaya River, LA",Nate
8764227,"LAWMA, Amerada Pass, LA",Nate
8764314,"Eugene Island, North of , Gulf of Mexico, LA",Nate
8766072,"Freshwater Canal Locks, LA",Nate
8767816,"Lake Charles, LA",Nate
8767961,"Bulk Terminal, LA",Nate
8768094,"Calcasieu Pass, LA",Nate
8770475,"Port Arthur, TX",Harvey
8770520,"Rainbow Bridge, TX",Harvey
8770570,"Sabine Pass North, TX",Harvey
8770613,"Morgans Point, TX",Harvey
8770733,"Lynchburg Landing, TX",Harvey
8770777,"Manchester, TX",Harvey
8770808,"High Island, TX",Harvey
8770822,"Texas Point, Sabine Pass, TX",Harvey
8770971,"Rollover Pass, TX",Harvey
8771013,"Eagle Point, TX",Harvey
8771341,"Galveston Bay Entrance, North Jetty, TX",Harvey
8771450,"Galveston Pier 21, TX",Harvey
8771486,"Galveston Railroad Bridge, TX",Harvey
8771972,"San Luis Pass, TX",Harvey
8772447,"Freeport, TX",Harvey
8772985,"Sargent, TX",Harvey
8773037,"Seadrift, TX",Harvey
8773146,"Matagorda City, TX",Harvey
8773259,"Port Lavaca, TX",Harvey
8773701,"Port O’Connor, TX",Harvey
8773767,"Matagorda Bay Entrance Channel, TX, TX",Harvey
8774230,"Aransas Wildlife Refuge, San Antonio Bay, TX",Harvey
8774770,"Rockport, TX",Harvey
8775237,"Port Aransas, TX",Harvey
8775241,"Aransas, Aransas Pass, TX",Harvey
8775244,"Nueces Bay, TX",Harvey
8775283,"Port Ingleside, TX",Harvey
8775296,"USS Lexington, TX",Harvey
8775792,"Packery Channel, TX",Harvey
8775870,"Bob Hall Pier, Corpus Christi, TX",Harvey
8776139,"S. Bird Island, TX",Harvey
8776604,"Baffin Bay, TX",Harvey
8777812,"Rincon Del San Jose, TX",Harvey
8778490,"Port Mansfield, TX",Harvey
8779280,"Realitos Peninsula, TX",Harvey
8779748,"South Padre Island CG Station, TX",Harvey
8779749,"SPI Brazos Santiago, TX",Harvey
8779770,"Port Isabel, TX",Harvey
9014070,"Algonac, MI",
9014080,"St Clair State Police, MI",
9014087,"Dry Dock, MI",
9014090,"Mouth of the Black River, MI",
9014096,"Dunn Paper, MI",
9014098,"Fort Gratiot, MI",
9034052,"St Clair Shores, MI",
9044020,"Gibraltar, MI",
9044030,"Wyandotte, MI",
9044036,"Fort Wayne, MI",
9044049,"Windmill Point, MI",
9052000,"Cape Vincent, NY",
9052030,"Oswego, NY",
9052058,"Rochester, NY",
9052076,"Olcott, NY",
9063007,"Ashland Ave, NY",
9063009,"American Falls, NY",
9063012,"Niagara Intake, NY",
9063020,"Buffalo, NY",
9063028,"Sturgeon Point, NY",
9063038,"Erie, PA",
9063053,"Fairport, OH",
9063063,"Cleveland, OH",
9063079,"Marblehead, OH",
9063085,"Toledo, OH",
9063090,"Fermi Power Plant, MI",
9075002,"Lakeport, MI",
9075014,"Harbor Beach, MI",
9075035,"Essexville, MI",
9075065,"Alpena, MI",
9075080,"Mackinaw City, MI",
9075099,"De Tour Village, MI",
9076024,"Rock Cut, MI",
9076027,"West Neebish Island, MI",
9076033,"Little Rapids, MI",
9076060,"U.S. Slip, MI",
9076070,"S.W. Pier, MI",
9087023,"Ludington, MI",
9087031,"Holland, MI",
9087044,"Calumet Harbor, IL",
9087057,"Milwaukee, WI",
9087068,"Kewaunee, WI",
9087072,"Sturgeon Bay Canal, WI",
9087079,"Green Bay, WI",
9087088,"Menominee, MI",
9087096,"Port Inland, MI",
9099004,"Point Iroquois, MI",
9099018,"Marquette C.G., MI",
9099044,"Ontonagon, MI",
9099064,"Duluth, MN",
9099090,"Grand Marais, MN",
9410170,"San Diego, CA",
9410230,"La Jolla, CA",
9410660,"Los Angeles, CA",
9410840,"Santa Monica, CA",
9411340,"Santa Barbara, CA",
9411406,"Oil Platform Harvest, CA",
9412110,"Port San Luis, CA",
9413450,"Monterey, CA",
9414290,"San Francisco, CA",
9414523,"Redwood City, CA",
9414575,"Coyote Creek, CA",
9414750,"Alameda, CA",
9414863,"Richmond, CA",
9414958,"Bolinas, Bolinas Lagoon, CA",
9415020,"Point Reyes, CA",
9415102,"Martinez-Amorco Pier, CA",
9415144,"Port Chicago, CA",
9416841,"Arena Cove, CA",
9418767,"North Spit, CA",
9419750,"Crescent City, CA",
9431647,"Port Orford, OR",
9432780,"Charleston, OR",
9435380,"South Beach, OR",
9437540,"Garibaldi, OR",
9439040,"Astoria, OR",
9439099,"Wauna, OR",
9439201,"St Helens, OR",
9440083,"Vancouver, WA",
9440422,"Longview, WA",
9440569,"Skamokawa, WA",
9440581,"Cape Disappointment, WA",
9440910,"Toke Point, WA",
9441102,"Westport, WA",
9442396,"La Push, WA",
9443090,"Neah Bay, WA",
9444090,"Port Angeles, WA",
9444900,"Port Townsend, WA",
9446484,"Tacoma, WA",
9447130,"Seattle, WA",
9449424,"Cherry Point, WA",
9449880,"Friday Harbor, WA",
9450460,"Ketchikan, AK",
9451054,"Port Alexander, AK",
9451600,"Sitka, AK",
9452210,"Juneau, AK",
9452400,"Skagway, AK",
9452634,"Elfin Cove, AK",
9453220,"Yakutat, Yakutat Bay, AK",
9454050,"Cordova, AK",
9454240,"Valdez, AK",
9455090,"Seward, AK",
9455500,"Seldovia, AK",
9455760,"Nikiski, AK",
9455920,"Anchorage, AK",
9457292,"Kodiak Island, AK",
9457804,"Alitak, AK",
9459450,"Sand Point, AK",
9459881,"King Cove, AK",
9461380,"Adak Island, AK",
9461710,"Atka, AK",
9462450,"Nikolski, AK",
9462620,"Unalaska, AK",
9463502,"Port Moller, AK",
9464212,"Village Cove, St Paul Island, AK",
9468333,"Unalakleet, AK",
9468756,"Nome, Norton Sound, AK",
9491094,"Red Dog Dock, AK",
9497645,"Prudhoe Bay, AK",
9751364,"Christiansted Harbor, St Croix, VI",Maria
9751381,"Lameshur Bay, St John, VI",Maria
9751401,"Lime Tree Bay. St. Croix, VI",Maria
9751639,"Charlotte Amalie, VI",Maria
9752235,"Culebra, PR",Maria
9752619,"Isabel Segunda, Vieques Island, PR",Maria
9752695,"Esperanza, Vieques Island, PR",Maria
9753216,"Fajardo, PR",Maria
9754228,"Yabucoa Harbor, PR",Maria
9755371,"San Juan, La Puntilla, San Juan Bay, PR",Maria
9757112,"Caja de Muertos, PR",Maria
9757809,"Arecibo, PR",Maria
9759110,"Magueyes Island, PR",Maria
9759394,"Mayaguez, PR",Maria
9759412,"Aguadilla, PR",Maria
9759938,"Mona Island, PR",Maria
9761115,"Barbuda, Antigua and Barbuda",
